User_ID,Age,Gender,Height_cm,Previous_Weight_kg,Current_Weight_kg,Target_Weight_kg,Goal_Type,Activity_Level,BMI,BMR_kcal,TDEE_kcal,Calories_Needed_kcal,Calories_to_Burn_kcal,Daily_Calories_Intake,Calories_Burned,Steps,Workout_Minutes,Sleep_Hours,Water_Litres,Protein_g,Stress_Level,Days_to_Goal
USR0001,19,Male,170.8,92.9,92.2,73.1,Weight Loss,Moderately Active,31.6,1900,2945,2585,571,2603,704,10686,30,6.3,1.9,138,Low,409
USR0002,23,Female,156.7,61.3,61.5,61.5,Maintenance,Moderately Active,25.0,1318,2043,2043,190,1841,632,10023,32,6.5,0.9,94,High,0
USR0003,45,Female,159.7,71.5,73.9,73.9,Maintenance,Lightly Active,29.0,1351,1858,1858,256,1868,853,14675,37,8.7,3.0,98,Medium,0
USR0004,46,Female,172.1,67.8,70.3,61.2,Weight Loss,Sedentary,23.7,1388,1666,1109,680,1163,411,11064,10,6.9,2.4,117,Medium,126
USR0005,43,Male,174.0,70.0,68.3,52.4,Weight Loss,Sedentary,22.6,1560,1872,1519,383,1824,100,2834,12,5.4,1.9,112,Low,347
USR0006,42,Male,172.1,79.7,77.0,55.9,Weight Loss,Moderately Active,26.0,1641,2544,1985,740,2025,605,5324,53,7.3,1.4,104,Low,291
USR0007,29,Male,170.1,78.8,77.6,82.6,Weight Gain,Moderately Active,26.8,1699,2633,2983,-145,2826,682,2629,54,8.0,1.5,127,Low,110
USR0008,22,Female,168.4,70.7,71.9,48.7,Weight Loss,Lightly Active,25.4,1500,2062,1499,654,1569,305,4986,22,7.0,2.4,142,Medium,317
USR0009,51,Female,162.8,65.3,68.0,61.8,Weight Loss,Lightly Active,25.7,1282,1763,1417,516,1606,566,10221,32,8.8,1.5,120,Medium,138
USR0010,54,Female,162.3,55.4,52.9,52.9,Maintenance,Moderately Active,20.1,1112,1724,1724,278,1980,926,16958,41,7.9,2.3,84,Medium,0
USR0011,32,Male,177.8,71.8,69.0,52.8,Weight Loss,Lightly Active,21.8,1646,2263,1759,668,1743,545,10079,18,5.7,3.4,133,Medium,248
USR0012,61,Female,174.3,64.4,66.7,48.5,Weight Loss,Lightly Active,22.0,1290,1774,1311,620,1281,525,9933,24,6.3,2.0,111,Medium,303
